2021-08-15T19:29:37-06:00
Running build/bench
Run on (16 X 5000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 0.34, 0.08, 0.03
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_parser/add_w_fold",15640,8954.58,8954.7,ns,7.42292e+08,1.11673e+08,,,
"BM_parser/add_w_fold",15640,8954.21,8954.17,ns,7.42335e+08,1.1168e+08,,,
"BM_parser/add_w_fold",15640,8954.7,8954.69,ns,7.42292e+08,1.11673e+08,,,
"BM_parser/add_w_fold",15640,8952.13,8952.25,ns,7.42495e+08,1.11704e+08,,,
"BM_parser/add_w_fold",15640,8951.04,8951.05,ns,7.42594e+08,1.11719e+08,,,
"BM_parser/add_w_fold",15640,8949.27,8949.38,ns,7.42733e+08,1.1174e+08,,,
"BM_parser/add_w_fold",15640,8938.69,8938.8,ns,7.43612e+08,1.11872e+08,,,
"BM_parser/add_w_fold",15640,8956.37,8956.13,ns,7.42173e+08,1.11655e+08,,,
"BM_parser/add_w_fold",15640,8955.97,8956.09,ns,7.42177e+08,1.11656e+08,,,
"BM_parser/add_w_fold",15640,8945.86,8945.97,ns,7.43016e+08,1.11782e+08,,,
"BM_parser/add_w_fold",15640,8943.42,8943.54,ns,7.43218e+08,1.11813e+08,,,
"BM_parser/add_w_fold",15640,8962.77,8955.13,ns,7.42256e+08,1.11668e+08,,,
"BM_parser/add_w_fold",15640,8955.84,8955.95,ns,7.42188e+08,1.11658e+08,,,
"BM_parser/add_w_fold",15640,8953.33,8953.45,ns,7.42396e+08,1.11689e+08,,,
"BM_parser/add_w_fold",15640,8950.29,8950.41,ns,7.42648e+08,1.11727e+08,,,
"BM_parser/add_w_fold",15640,8962.7,8952.7,ns,7.42458e+08,1.11698e+08,,,
"BM_parser/add_w_fold",15640,8966,8965.93,ns,7.41362e+08,1.11533e+08,,,
"BM_parser/add_w_fold",15640,8955.28,8955.21,ns,7.42249e+08,1.11667e+08,,,
"BM_parser/add_w_fold",15640,8944.79,8944.76,ns,7.43117e+08,1.11797e+08,,,
"BM_parser/add_w_fold",15640,8939.08,8939.2,ns,7.43579e+08,1.11867e+08,,,
"BM_parser/add_w_fold",15640,8953.5,8953.54,ns,7.42388e+08,1.11688e+08,,,
"BM_parser/add_w_fold",15640,8950.39,8950.5,ns,7.4264e+08,1.11726e+08,,,
"BM_parser/add_w_fold",15640,8943.84,8943.95,ns,7.43184e+08,1.11807e+08,,,
"BM_parser/add_w_fold",15640,8938.43,8938.45,ns,7.43641e+08,1.11876e+08,,,
"BM_parser/add_w_fold",15640,8936.57,8936.68,ns,7.43789e+08,1.11898e+08,,,
"BM_parser/add_w_fold",15640,8945.46,8945.58,ns,7.43049e+08,1.11787e+08,,,
"BM_parser/add_w_fold",15640,8954.84,8954.86,ns,7.42278e+08,1.11671e+08,,,
"BM_parser/add_w_fold",15640,8949.39,8949.51,ns,7.42722e+08,1.11738e+08,,,
"BM_parser/add_w_fold",15640,8956.78,8956.89,ns,7.4211e+08,1.11646e+08,,,
"BM_parser/add_w_fold",15640,8959.71,8952.16,ns,7.42502e+08,1.11705e+08,,,
"BM_parser/add_w_fold",15640,8954.45,8954.57,ns,7.42303e+08,1.11675e+08,,,
"BM_parser/add_w_fold",15640,8952.92,8952.75,ns,7.42453e+08,1.11697e+08,,,
"BM_parser/add_w_fold",15640,8948.09,8948.2,ns,7.42831e+08,1.11754e+08,,,
"BM_parser/add_w_fold",15640,8945.84,8945.95,ns,7.43018e+08,1.11782e+08,,,
"BM_parser/add_w_fold",15640,8955.37,8947.72,ns,7.42871e+08,1.1176e+08,,,
"BM_parser/add_w_fold",15640,8971.14,8971.06,ns,7.40938e+08,1.11469e+08,,,
"BM_parser/add_w_fold",15640,8953.81,8953.93,ns,7.42356e+08,1.11683e+08,,,
