2021-08-15T03:56:20-06:00
Running build/bench
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.58, 0.65, 0.68
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_parser/add_w_baseline",8122,14466.8,14451.9,ns,4.59938e+08,6.91949e+07,,,
"BM_parser/add_w_baseline",8122,11675.3,11671.5,ns,5.69507e+08,8.56789e+07,,,
"BM_parser/add_w_baseline",8122,11724.2,11720.7,ns,5.67116e+08,8.53191e+07,,,
"BM_parser/add_w_baseline",8122,11320.8,11317.2,ns,5.87335e+08,8.83609e+07,,,
"BM_parser/add_w_baseline",8122,11254.4,11251.6,ns,5.9076e+08,8.88762e+07,,,
"BM_parser/add_w_baseline",8122,10940.6,10937.9,ns,6.07702e+08,9.1425e+07,,,
"BM_parser/add_w_baseline",8122,11063.9,11060.4,ns,6.00974e+08,9.04128e+07,,,
"BM_parser/add_w_baseline",8122,11211,11207.8,ns,5.93067e+08,8.92232e+07,,,
"BM_parser/add_w_baseline",8122,11968.6,11948.9,ns,5.56286e+08,8.36897e+07,,,
"BM_parser/add_w_baseline",8122,11265.5,11262.7,ns,5.90181e+08,8.8789e+07,,,
"BM_parser/add_w_baseline",8122,11159.4,11156,ns,5.95821e+08,8.96375e+07,,,
"BM_parser/add_w_baseline",8122,11210,11206.7,ns,5.93126e+08,8.92322e+07,,,
"BM_parser/add_w_baseline",8122,11096.2,11093.5,ns,5.99181e+08,9.0143e+07,,,
"BM_parser/add_w_baseline",8122,11092.3,11089.2,ns,5.99414e+08,9.01781e+07,,,
"BM_parser/add_w_baseline",8122,11083.5,11080.9,ns,5.99861e+08,9.02454e+07,,,
"BM_parser/add_w_baseline",8122,11080.3,11076.2,ns,6.00114e+08,9.02834e+07,,,
"BM_parser/add_w_baseline",8122,11084.3,11080.8,ns,5.99867e+08,9.02463e+07,,,
"BM_parser/add_w_baseline",8122,10971.8,10969.1,ns,6.05972e+08,9.11648e+07,,,
"BM_parser/add_w_baseline",8122,11086.1,11082.8,ns,5.9976e+08,9.02302e+07,,,
"BM_parser/add_w_baseline",8122,11084.2,11081.1,ns,5.9985e+08,9.02437e+07,,,
"BM_parser/add_w_baseline",8122,10982.5,10979.9,ns,6.05378e+08,9.10753e+07,,,
"BM_parser/add_w_baseline",8122,11077.4,11074.1,ns,6.00229e+08,9.03007e+07,,,
"BM_parser/add_w_baseline",8122,11075.4,11072.6,ns,6.0031e+08,9.0313e+07,,,
"BM_parser/add_w_baseline",8122,11083.7,11081.1,ns,5.99851e+08,9.02438e+07,,,
"BM_parser/add_w_baseline",8122,11080.1,11077.5,ns,6.00045e+08,9.0273e+07,,,
"BM_parser/add_w_baseline",8122,10968.2,10964.5,ns,6.0623e+08,9.12035e+07,,,
"BM_parser/add_w_baseline",8122,11005.2,11002.4,ns,6.04141e+08,9.08893e+07,,,
"BM_parser/add_w_baseline",8122,11009.9,11007.1,ns,6.03885e+08,9.08507e+07,,,
"BM_parser/add_w_baseline",8122,11072.6,11069.7,ns,6.0047e+08,9.0337e+07,,,
"BM_parser/add_w_baseline",8122,11051.6,11048.2,ns,6.01636e+08,9.05124e+07,,,
"BM_parser/add_w_baseline",8122,11040.1,11036.7,ns,6.02261e+08,9.06065e+07,,,
"BM_parser/add_w_baseline",8122,10975.2,10972.4,ns,6.05795e+08,9.11381e+07,,,
"BM_parser/add_w_baseline",8122,11089.1,11086.3,ns,5.99566e+08,9.0201e+07,,,
"BM_parser/add_w_baseline",8122,10986.3,10983.6,ns,6.05173e+08,9.10446e+07,,,
"BM_parser/add_w_baseline",8122,11108.1,11104.8,ns,5.98568e+08,9.00508e+07,,,
"BM_parser/add_w_baseline",8122,11086.1,11082.9,ns,5.99753e+08,9.02291e+07,,,
"BM_parser/add_w_baseline",8122,11088.6,11085.5,ns,5.99611e+08,9.02077e+07,,,
"BM_parser/add_w_baseline",8122,11005.9,11003.3,ns,6.04093e+08,9.08821e+07,,,
"BM_parser/add_w_baseline",8122,10982.6,10979.7,ns,6.05389e+08,9.1077e+07,,,
"BM_parser/add_w_baseline",8122,10961.9,10958.6,ns,6.06556e+08,9.12526e+07,,,
"BM_parser/add_w_baseline",8122,10958.2,10955,ns,6.06758e+08,9.12829e+07,,,
"BM_parser/add_w_baseline",8122,12006.5,12001.3,ns,5.53857e+08,8.33244e+07,,,
"BM_parser/add_w_baseline",8122,11091.7,11088,ns,5.99477e+08,9.01876e+07,,,
"BM_parser/add_w_baseline",8122,11095.1,11092.3,ns,5.99243e+08,9.01525e+07,,,
"BM_parser/add_w_baseline",8122,11104,11100.3,ns,5.98815e+08,9.0088e+07,,,
"BM_parser/add_w_baseline",8122,11093.6,11090.9,ns,5.9932e+08,9.0164e+07,,,
"BM_parser/add_w_baseline",8122,10964.1,10961.4,ns,6.06403e+08,9.12295e+07,,,
"BM_parser/add_w_baseline",8122,10978,10975.2,ns,6.05639e+08,9.11147e+07,,,
"BM_parser/add_w_baseline",8122,11083.5,11081,ns,5.99854e+08,9.02444e+07,,,
"BM_parser/add_w_baseline",8122,12227,12221,ns,5.43899e+08,8.18262e+07,,,
"BM_parser/add_w_baseline",8122,11096,11093.4,ns,5.99183e+08,9.01433e+07,,,
"BM_parser/add_w_baseline",8122,11091.5,11088.9,ns,5.99428e+08,9.01802e+07,,,
"BM_parser/add_w_baseline",8122,11093.8,11091.3,ns,5.99299e+08,9.01608e+07,,,
"BM_parser/add_w_baseline",8122,11097.9,11095.2,ns,5.99087e+08,9.0129e+07,,,
"BM_parser/add_w_baseline",8122,10967.5,10965,ns,6.062e+08,9.1199e+07,,,
"BM_parser/add_w_baseline",8122,11087.9,11085.3,ns,5.99622e+08,9.02094e+07,,,
"BM_parser/add_w_baseline",8122,11231.1,11227.9,ns,5.9201e+08,8.90642e+07,,,
"BM_parser/add_w_baseline",8122,11080,11077.2,ns,6.00062e+08,9.02757e+07,,,
"BM_parser/add_w_baseline",8122,11078.2,11075.8,ns,6.00139e+08,9.02872e+07,,,
